Deal_Id,ProviderDeal_ID,Full_Title,Short_Title,Full_Desc,Short_Desc,all_details,Outlets,PostalCodes,DealSite_URL,DealImage_URL,HighlightImage_URL,Start_Date,End_Date,Merchant_ID,ProviderMerchant_ID,Merchant_Name,Merchant_Image_URL,MerchantWebsite_URL,Card_ID,Terms_and_Conditions,CardImages_URL,isFeatured,homeFeatured,isOnlineMerchant,category,subCategory,keywords,bookmark
208_280,208,Bergs,Bergs,Up to 30% off food delivery,Up to 30% off<br />food delivery,"•&nbsp;Not valid with ANZ Debit Cards •&nbsp;Valid till 30 June 2015 •&nbsp;Please enter promo code ""ANZ30+the first 6 digits of your ANZ Credit Card number"" eg. ""ANZ30123456"" for 30% offer and ""ANZ10+the first 6 digits of your ANZ Credit Card number"" eg. ""ANZ10456789"" for 10% offer at payment page •&nbsp;Valid for online payment only •&nbsp;ANZ Dining Programme General Terms and Conditions apply",None,Not available; ,https://sg.anz.com/ANZPrivileges/offer-category.jsp,https://sg.anz.com/ANZPrivileges/merchant-offers/thumb/280.jpg,0,2015-06-25,2015-06-30 T23:59:59,208_11,0,Bergs,0,Website: www.foodpanda.sg,All cards,"• Not valid with ANZ Debit Cards • Valid till 30 June 2015 • Please enter promo code ""ANZ30+the first 6 digits of your ANZ Credit Card number"" eg. ""ANZ30123456"" for 30% offer and ""ANZ10+the first 6 digits of your ANZ Credit Card number"" eg. ""ANZ10456789"" for 10% offer at payment page • Valid for online payment only • ANZ Dining Programme General Terms and Conditions apply",0,0,0,Yes,Online,None,0,0
208_281,208,Chili's,Chili's,Up to 30% off food delivery,Up to 30% off<br />food delivery,"•&nbsp;Not valid with ANZ Debit Cards •&nbsp;Valid till 30 June 2015 •&nbsp;Please enter promo code ""ANZ30+the first 6 digits of your ANZ Credit Card number"" eg. ""ANZ30123456"" for 30% offer and ""ANZ10+the first 6 digits of your ANZ Credit Card number"" eg. ""ANZ10456789"" for 10% offer at payment page •&nbsp;Valid for online payment only •&nbsp;ANZ Dining Programme General Terms and Conditions apply",None,Not available; ,https://sg.anz.com/ANZPrivileges/offer-category.jsp,https://sg.anz.com/ANZPrivileges/merchant-offers/thumb/281.jpg,0,2015-06-25,2015-06-30 T23:59:59,208_12,0,Chili's,0,Website: www.foodpanda.sg,All cards,"• Not valid with ANZ Debit Cards • Valid till 30 June 2015 • Please enter promo code ""ANZ30+the first 6 digits of your ANZ Credit Card number"" eg. ""ANZ30123456"" for 30% offer and ""ANZ10+the first 6 digits of your ANZ Credit Card number"" eg. ""ANZ10456789"" for 10% offer at payment page • Valid for online payment only • ANZ Dining Programme General Terms and Conditions apply",0,0,0,Yes,Online,None,0,0
208_424,208,Expedia.com.sg,Expedia.com.sg,Additional 10% off on hotel bookings,Additional 10% off on hotel bookings,"•&nbsp;Valid for payment with ANZ MasterCard Cards only 
•&nbsp;Valid for booking till 16 September 2015 and for travel before 31 March 2016 
•&nbsp;Other terms and conditions apply 
•&nbsp;ANZ General Terms and Conditions apply.",None,Not available; ,https://sg.anz.com/ANZPrivileges/offer-category.jsp,https://sg.anz.com/ANZPrivileges/merchant-offers/thumb/424.jpg,0,2015-06-25,2015-09-16 T23:59:59,208_13,0,Expedia.com.sg,0,Website: www.expedia.com.sg/mastercard,All cards,"• Valid for payment with ANZ MasterCard Cards only 
• Valid for booking till 16 September 2015 and for travel before 31 March 2016 
• Other terms and conditions apply 
• ANZ General Terms and Conditions apply.",0,0,0,Yes,Online,None,0,0
208_278,208,Food Panda,Food Panda,Up to 30% off food delivery,Up to 30% off<br />food delivery,"•&nbsp;Not valid with ANZ Debit Cards •&nbsp;Valid till 30 June 2015 •&nbsp;Please enter promo code ""ANZ30+the first 6 digits of your ANZ Credit Card number"" eg. ""ANZ30123456"" for 30% offer and ""ANZ10+the first 6 digits of your ANZ Credit Card number"" eg. ""ANZ10456789"" for 10% offer at payment page •&nbsp;Valid for online payment only •&nbsp;ANZ Dining Programme General Terms and Conditions apply",None,Not available; ,https://sg.anz.com/ANZPrivileges/offer-category.jsp,https://sg.anz.com/ANZPrivileges/merchant-offers/thumb/278.jpg,0,2015-06-25,2015-06-30 T23:59:59,208_14,0,Food Panda,0,Website: www.foodpanda.sg,All cards,"• Not valid with ANZ Debit Cards • Valid till 30 June 2015 • Please enter promo code ""ANZ30+the first 6 digits of your ANZ Credit Card number"" eg. ""ANZ30123456"" for 30% offer and ""ANZ10+the first 6 digits of your ANZ Credit Card number"" eg. ""ANZ10456789"" for 10% offer at payment page • Valid for online payment only • ANZ Dining Programme General Terms and Conditions apply",0,0,0,Yes,Online,None,0,0
208_381,208,Foxysales,Foxysales,"Up to 80% off products for moms, babies and kids","Up to 80% off products for moms, babies and kids","•&nbsp;Valid till 31 July 2015 
•&nbsp;Please enter promo code ""ANZ-FREEDELIVERY"" during check-out 
•&nbsp;ANZ General Terms and Conditions apply",None,Not available; ,https://sg.anz.com/ANZPrivileges/offer-category.jsp,https://sg.anz.com/ANZPrivileges/merchant-offers/thumb/381.jpg,0,2015-06-25,2015-07-31 T23:59:59,208_15,0,Foxysales,0,Website: www.foxysales.com,All cards,"• Valid till 31 July 2015 
• Please enter promo code ""ANZ-FREEDELIVERY"" during check-out 
• ANZ General Terms and Conditions apply",0,0,0,Yes,Online,None,0,0
208_356,208,HoneySpree,HoneySpree,15% off regular-priced items,15% off regular-priced items,"•&nbsp;Valid till 16 February 2016 
•&nbsp;Please enter promo code ""ANZ+the first 6 digits of your ANZ Credit Card number"" eg. ""ANZ123456"" at the check-out page 
•&nbsp;ANZ General Terms and Conditions apply",None,Not available; ,https://sg.anz.com/ANZPrivileges/offer-category.jsp,https://sg.anz.com/ANZPrivileges/merchant-offers/thumb/356.jpg,0,2015-06-25,2016-02-16 T23:59:59,208_16,0,HoneySpree,0,Order online via Website: www.honeyspree.com,All cards,"• Valid till 16 February 2016 
• Please enter promo code ""ANZ+the first 6 digits of your ANZ Credit Card number"" eg. ""ANZ123456"" at the check-out page 
• ANZ General Terms and Conditions apply",0,0,0,Yes,Online,None,0,0
208_283,208,Indian Curry House,Indian Curry House,Up to 30% off food delivery,Up to 30% off<br />food delivery,"•&nbsp;Not valid with ANZ Debit Cards •&nbsp;Valid till 30 June 2015 •&nbsp;Please enter promo code ""ANZ30+the first 6 digits of your ANZ Credit Card number"" eg. ""ANZ30123456"" for 30% offer and ""ANZ10+the first 6 digits of your ANZ Credit Card number"" eg. ""ANZ10456789"" for 10% offer at payment page •&nbsp;Valid for online payment only •&nbsp;ANZ Dining Programme General Terms and Conditions apply",None,Not available; ,https://sg.anz.com/ANZPrivileges/offer-category.jsp,https://sg.anz.com/ANZPrivileges/merchant-offers/thumb/283.jpg,0,2015-06-25,2015-06-30 T23:59:59,208_17,0,Indian Curry House,0,Website: www.foodpanda.sg,All cards,"• Not valid with ANZ Debit Cards • Valid till 30 June 2015 • Please enter promo code ""ANZ30+the first 6 digits of your ANZ Credit Card number"" eg. ""ANZ30123456"" for 30% offer and ""ANZ10+the first 6 digits of your ANZ Credit Card number"" eg. ""ANZ10456789"" for 10% offer at payment page • Valid for online payment only • ANZ Dining Programme General Terms and Conditions apply",0,0,0,Yes,Online,None,0,0
208_453,208,Journeyful.com,Journeyful.com,Bintan Lagoon Resort Getaway fr. S$109 and S$40 off 5D4N Vietnam Tour,Bintan Lagoon Resort Getaway fr. S$109 and S$40 off 5D4N Vietnam Tour,"•&nbsp;Valid till 31 October 2015 
•&nbsp;Terms & conditions apply for all packages listed 
•&nbsp;Tour fares will vary according to different travel date, accommodations and travel arrangements 
•&nbsp;ANZ General Terms and Conditions apply.",None,Not available; ,https://sg.anz.com/ANZPrivileges/offer-category.jsp,https://sg.anz.com/ANZPrivileges/merchant-offers/thumb/453.jpg,0,2015-06-25,2015-10-31 T23:59:59,208_18,0,Journeyful.com,0,Website: Journeyful.com/anz,All cards,"• Valid till 31 October 2015 
• Terms &amp; conditions apply for all packages listed 
• Tour fares will vary according to different travel date, accommodations and travel arrangements 
• ANZ General Terms and Conditions apply.",0,0,0,Yes,Online,None,0,0
208_690,208,MyKronoz ZeWatch2,MyKronoz ZeWatch2,10% off Switzerland designed Smartwatch,10% off Switzerland designed Smartwatch,"&bull;&nbsp;Valid till 31 July 2015 
&bull;&nbsp;Please quote ""ANZ10WATCH"" at point of check out to enjoy the offer 
&bull;&nbsp;Choice of colour is subject to availability while stocks last 
&bull;&nbsp;ANZ General Terms and Conditions apply.",None,Not available; ,https://sg.anz.com/ANZPrivileges/offer-category.jsp,https://sg.anz.com/ANZPrivileges/merchant-offers/thumb/690.jpg,0,2015-06-25,2015-07-31 T23:59:59,208_19,0,MyKronoz ZeWatch2,0,Website: www.omigo.com.sg/anzwatch,All cards,"• Valid till 31 July 2015 
• Please quote ""ANZ10WATCH"" at point of check out to enjoy the offer 
• Choice of colour is subject to availability while stocks last 
• ANZ General Terms and Conditions apply.",0,0,0,Yes,Online,None,0,0
208_399,208,puregold.sg,puregold.sg,5% off all products,5% off all products,"•&nbsp;Valid till 31 August 2015 
•&nbsp;All prices quoted are in Singapore Dollars 
•&nbsp;Goods and Services Tax (GST) is not charged 
•&nbsp;Free courier delivery in (Singapore only) for all purchases. Courier services are not offered for overseas customers. International customers will have to fix appointments with PureGold.sg Pte Ltd and travel to Singapore to make purchases 
•&nbsp;All Gold and Silver purchases include packaging + certification 
•&nbsp;Money Back guarantee - customers can exchange items of the same value or receive a full refund if there are defects/purity issues in the product 
•&nbsp;Promotion is not valid on discounted items and non-sale brands 
•&nbsp;ANZ General Terms and Conditions apply",None,Not available; ,https://sg.anz.com/ANZPrivileges/offer-category.jsp,https://sg.anz.com/ANZPrivileges/merchant-offers/thumb/399.jpg,0,2015-06-25,2015-08-31 T23:59:59,208_20,0,puregold.sg,0,Website: www.puregold.sg,All cards,"• Valid till 31 August 2015 
• All prices quoted are in Singapore Dollars 
• Goods and Services Tax (GST) is not charged 
• Free courier delivery in (Singapore only) for all purchases. Courier services are not offered for overseas customers. International customers will have to fix appointments with PureGold.sg Pte Ltd and travel to Singapore to make purchases 
• All Gold and Silver purchases include packaging + certification 
• Money Back guarantee - customers can exchange items of the same value or receive a full refund if there are defects/purity issues in the product 
• Promotion is not valid on discounted items and non-sale brands 
• ANZ General Terms and Conditions apply",0,0,0,Yes,Online,None,0,0
